"week_start","lugar","fiebre_38","ante_fiebre","tos_p","malestar","dolor_decabeza","dolor_muscular_articulaciones","odinofagia","rinorrea","conjuntivitis","adenopatia","disnea","p_gusto","perdida_olfato","nausea_vomitos","diarrea_r","alt_conciencia","estridor","tiraje","aleteo_nasal","vomitos_diarrea","source","denom","total_tested","n","n_roll","denom_roll","total_tested_roll","fiebre_38_roll","ante_fiebre_roll","tos_p_roll","malestar_roll","dolor_decabeza_roll","dolor_muscular_articulaciones_roll","odinofagia_roll","rinorrea_roll","conjuntivitis_roll","adenopatia_roll","disnea_roll","p_gusto_roll","perdida_olfato_roll","nausea_vomitos_roll","diarrea_r_roll","alt_conciencia_roll","estridor_roll","tiraje_roll","aleteo_nasal_roll","vomitos_diarrea_roll","fiebre_38_inc","ante_fiebre_inc","tos_p_inc","malestar_inc","dolor_decabeza_inc","dolor_muscular_articulaciones_inc","odinofagia_inc","rinorrea_inc","conjuntivitis_inc","adenopatia_inc","disnea_inc","p_gusto_inc","perdida_olfato_inc","nausea_vomitos_inc","diarrea_r_inc","alt_conciencia_inc","estridor_inc","tiraje_inc","aleteo_nasal_inc","vomitos_diarrea_inc"
2025-06-15,"Banasa",1,6,7,3,2,3,2,3,0,0,4,0,1,0,0,0,0,0,0,0,"Resp",3000,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,2,2.33333333333333,1,0.666666666666667,1,0.666666666666667,1,0,0,1.33333333333333,0,0.333333333333333,0,0,0,0,0,0,0
2025-06-22,"Banasa",0,4,11,5,6,6,12,10,0,0,2,0,3,0,0,0,0,0,0,3,"Resp",3000,14,1,3,9000,35,0.333333333333333,1.33333333333333,3,1.22222222222222,0.888888888888889,1.22222222222222,2.66666666666667,2.44444444444444,0,0,1,0,0.777777777777778,0,0,0,0,0,0,0.333333333333333,0,1.33333333333333,3.66666666666667,1.66666666666667,2,2,4,3.33333333333333,0,0,0.666666666666667,0,1,0,0,0,0,0,0,1
2025-06-29,"Banasa",2,2,9,3,0,2,10,9,0,0,3,0,3,0,0,0,0,0,0,0,"Resp",3000,12,1,3,9000,31,0.333333333333333,1,2.55555555555556,1,0.777777777777778,0.888888888888889,2.88888888888889,2.22222222222222,0,0,0.666666666666667,0,0.777777777777778,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0.666666666666667,3,1,0,0.666666666666667,3.33333333333333,3,0,0,1,0,1,0,0,0,0,0,0,0
2025-07-06,"Banasa",1,3,3,1,1,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,"Resp",3000,5,1,3,9000,22,0.444444444444444,0.777777777777778,1.88888888888889,0.666666666666667,0.222222222222222,0.333333333333333,2,1.55555555555556,0,0,0.555555555555556,0.111111111111111,0.555555555555556,0.111111111111111,0.111111111111111,0,0,0,0,0,0.333333333333333,1,1,0.333333333333333,0.333333333333333,0,1.33333333333333,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0
2025-07-13,"Banasa",1,2,5,2,1,1,4,4,0,0,1,1,1,1,1,0,0,0,0,0,"Resp",3000,5,1,3,9000,15,0.222222222222222,0.777777777777778,1.22222222222222,0.444444444444444,0.222222222222222,0.111111111111111,1.44444444444444,0.666666666666667,0,0,0.222222222222222,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0,0,0,0,0,0.333333333333333,0.666666666666667,1.66666666666667,0.666666666666667,0.333333333333333,0.333333333333333,1.33333333333333,1.33333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0
2025-07-20,"Banasa",0,2,3,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,"Resp",3000,5,1,3,9000,12,0.111111111111111,0.555555555555556,1,0.444444444444444,0.222222222222222,0.222222222222222,1.22222222222222,0.666666666666667,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0.666666666666667,1,0.333333333333333,0,0,1.66666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-27,"Banasa",0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Resp",3000,2,1,3,9000,10,0,0.333333333333333,0.666666666666667,0.222222222222222,0.111111111111111,0.111111111111111,1.11111111111111,0.333333333333333,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-03,"Banasa",0,0,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,"Resp",3000,3,1,3,9000,9,0,0.111111111111111,0.666666666666667,0.222222222222222,0.222222222222222,0.111111111111111,0.888888888888889,0.666666666666667,0,0,0.111111111111111,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,1,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0
2025-08-10,"Banasa",0,0,3,1,1,0,3,4,0,0,1,1,1,0,0,0,0,0,0,0,"Resp",3000,4,1,3,9000,12,0.111111111111111,0.111111111111111,0.888888888888889,0.222222222222222,0.333333333333333,0.111111111111111,1.11111111111111,0.777777777777778,0,0,0.222222222222222,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0.333333333333333,0,1,1.33333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0
2025-08-17,"Banasa",1,1,3,1,2,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,"Resp",3000,5,1,3,9000,20,0.111111111111111,0.333333333333333,1.44444444444444,0.333333333333333,0.666666666666667,0.333333333333333,1.77777777777778,1.55555555555556,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0,0,0.333333333333333,0.333333333333333,1,0.333333333333333,0.666666666666667,0.333333333333333,1.33333333333333,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0
2025-08-24,"Banasa",0,2,7,1,3,2,9,8,0,0,1,2,2,1,1,0,1,0,0,0,"Resp",3000,11,1,3,9000,19,0.111111111111111,0.555555555555556,1.44444444444444,0.333333333333333,0.666666666666667,0.555555555555556,1.77777777777778,1.22222222222222,0,0,0.222222222222222,0.333333333333333,0.333333333333333,0.111111111111111,0.222222222222222,0,0.111111111111111,0,0,0,0,0.666666666666667,2.33333333333333,0.333333333333333,1,0.666666666666667,3,2.66666666666667,0,0,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0
