"","hospital","epiweek","year","total_tested","total_pos","total_neg","sars_cov2_pos","sars_cov2_neg","inf_a_pos","inf_a_neg","inf_b_pos","inf_b_neg","vsr_pos","vsr_neg","inf_a_h1n1","inf_a_h3n2","inf_a_nosub","vsr_a","vsr_b","vsr_nosub","epiweek_date","tested_roll","inf_a_pos_roll","inf_b_pos_roll","sars_cov2_pos_roll","vsr_pos_roll","flua_inc","flub_inc","scv2_inc","rsv_inc","flu_gen_inc","flua_inc_roll","flub_inc_roll","scv2_inc_roll","rsv_inc_roll","flu_gen_inc_roll"
"1","Hospital de Chimaltenango",35,2025,13,2,11,0,13,0,13,0,13,2,11,0,0,0,0,2,0,2025-08-31,NA,NA,NA,NA,NA,0,0,0,153.846153846154,0,NA,NA,NA,NA,NA
"2","Hospital de Chimaltenango",36,2025,21,2,19,0,21,0,21,0,21,2,19,0,0,0,1,0,1,2025-09-07,54,0,0,1,8,0,0,0,95.2380952380952,0,0,0,1.85185185185185,148.148148148148,0
"3","Hospital de Chimaltenango",37,2025,20,4,16,1,19,0,20,0,20,4,16,0,0,0,0,3,1,2025-09-14,60,0,0,2,7,0,0,5,200,0,0,0,3.33333333333333,116.666666666667,0
"4","Hospital de Chimaltenango",38,2025,19,2,17,1,18,0,19,0,19,1,18,0,0,0,0,1,0,2025-09-21,60,1,0,3,11,0,0,5.26315789473684,52.6315789473684,0,1.66666666666667,0,5,183.333333333333,16.6666666666667
"5","Hospital de Chimaltenango",39,2025,21,8,13,1,20,1,20,0,21,6,15,0,1,0,0,3,3,2025-09-28,68,1,0,2,13,4.76190476190476,0,4.76190476190476,285.714285714286,47.6190476190476,1.47058823529412,0,2.94117647058824,191.176470588235,14.7058823529412
"6","Hospital de Chimaltenango",40,2025,28,6,22,0,28,0,28,0,28,6,22,0,0,0,2,4,0,2025-10-05,74,1,0,1,25,0,0,0,214.285714285714,0,1.35135135135135,0,1.35135135135135,337.837837837838,13.5135135135135
"7","Hospital de Chimaltenango",41,2025,25,13,12,0,25,0,25,0,25,13,12,0,0,0,2,7,4,2025-10-12,83,2,0,0,29,0,0,0,520,0,2.40963855421687,0,0,349.397590361446,24.0963855421687
"8","Hospital de Chimaltenango",42,2025,30,12,18,0,30,2,28,0,30,10,20,1,0,1,2,4,4,2025-10-19,79,2,0,1,32,6.66666666666667,0,0,333.333333333333,66.6666666666667,2.53164556962025,0,1.26582278481013,405.06329113924,25.3164556962025
"9","Hospital de Chimaltenango",43,2025,24,10,14,1,23,0,24,0,24,9,15,0,0,0,2,6,1,2025-10-26,82,2,0,1,39,0,0,4.16666666666667,375,0,2.4390243902439,0,1.21951219512195,475.609756097561,24.390243902439
"10","Hospital de Chimaltenango",44,2025,28,20,8,0,28,0,28,0,28,20,8,0,0,0,6,10,4,2025-11-02,79,1,0,1,45,0,0,0,714.285714285714,0,1.26582278481013,0,1.26582278481013,569.620253164557,12.6582278481013
"11","Hospital de Chimaltenango",45,2025,27,17,10,0,27,1,26,0,27,16,11,0,1,0,1,9,6,2025-11-09,79,1,1,0,49,3.7037037037037,0,0,592.592592592593,37.037037037037,1.26582278481013,1.26582278481013,0,620.253164556962,25.3164556962025
"12","Hospital de Chimaltenango",46,2025,24,14,10,0,24,0,24,1,23,13,11,0,0,0,3,5,5,2025-11-16,84,5,1,1,50,0,4.16666666666667,0,541.666666666667,41.6666666666667,5.95238095238095,1.19047619047619,1.19047619047619,595.238095238095,71.4285714285714
"13","Hospital de Chimaltenango",47,2025,33,26,7,1,32,4,29,0,33,21,12,1,2,1,4,10,7,2025-11-23,81,10,1,1,46,12.1212121212121,0,3.03030303030303,636.363636363636,121.212121212121,12.3456790123457,1.23456790123457,1.23456790123457,567.901234567901,135.802469135802
"14","Hospital de Chimaltenango",48,2025,24,18,6,0,24,6,18,0,24,12,12,0,3,3,4,6,2,2025-11-30,77,11,0,1,44,25,0,0,500,250,14.2857142857143,0,1.2987012987013,571.428571428571,142.857142857143
"15","Hospital de Chimaltenango",49,2025,20,12,8,0,20,1,19,0,20,11,9,0,0,1,2,6,3,2025-12-07,66,10,0,0,35,5,0,0,550,50,15.1515151515152,0,0,530.30303030303,151.515151515152
