"","epiweek_recolec","count_undetermined","count_unprocessed","count_all_resul_inf_a_all","count_all_resul_inf_b_all","count_all_resul_inf_all","count_all_resul_rsv_all","count_all_resul_sars_all","count_all_resul_covid_19_all","count_all_resul_sars_covid_all","count_all_resul_virus_all","count_neg_resul_inf_a_all","count_neg_resul_inf_b_all","count_neg_resul_inf_all","count_neg_resul_rsv_all","count_neg_resul_sars_all","count_neg_resul_covid_19_all","count_neg_resul_sars_covid_all","count_neg_resul_virus_all","count_pos_resul_inf_a_all","count_pos_resul_inf_b_all","count_pos_resul_inf_all","count_pos_resul_rsv_all","count_pos_resul_sars_all","count_pos_resul_covid_19_all","count_pos_resul_sars_covid_all","count_pos_resul_virus_all","pct_pos_resul_inf_a_all","pct_pos_resul_inf_b_all","pct_pos_resul_inf_all","pct_pos_resul_rsv_all","pct_pos_resul_sars_all","pct_pos_resul_covid_19_all","pct_pos_resul_sars_covid_all","pct_pos_resul_virus_all"
"1","2020-06-29",0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-07-20",0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-07-27",0,0,2,2,2,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,100,100,100,100
"4","2020-08-24",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,100,100,100
"5","2020-09-14",0,0,2,2,2,2,0,2,2,2,2,2,2,2,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,50,50,50
"6","2020-09-21",0,0,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,100,100,100
"7","2020-10-05",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-10-12",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-10-19",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-11-09",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-11-16",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-11-23",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-11-30",0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-12-07",0,0,3,3,3,3,1,2,3,3,3,3,3,3,0,2,2,2,0,0,0,0,1,0,1,1,0,0,0,0,100,0,33.3333333333333,33.3333333333333
"15","2020-12-14",0,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2021-01-18",0,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2021-01-25",0,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2021-02-01",1,0,2,2,2,2,NA,NA,NA,2,1,1,1,0,NA,NA,NA,0,0,0,0,1,NA,NA,NA,1,0,0,0,100,NA,NA,NA,100
"19","2021-02-08",1,0,4,4,4,4,NA,NA,NA,4,3,3,3,3,NA,NA,NA,2,0,0,0,0,NA,NA,NA,1,0,0,0,0,NA,NA,NA,33.3333333333333
"20","2021-02-15",0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","2021-02-22",0,0,5,5,5,5,0,5,5,5,5,5,5,5,0,3,3,3,0,0,0,0,0,2,2,2,0,0,0,0,0,40,40,40
"22","2021-03-01",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","2021-03-08",0,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
