"","age_grp","week_start","surveilled","tested","inf_a_pos","inf_b_pos","sars_cov2_pos","vsr_pos","inf_a_h1n1","inf_a_h3n2","ili_inc","ili_inc_roll","flu_gen_inc","flu_gen_inc_roll","flua_inc","flua_inc_roll","flub_inc","flub_inc_roll","scv2_inc","scv2_inc_roll","rsv_inc","rsv_inc_roll","h1n1_inc","h1n1_inc_roll","h3n2_inc","h3n2_inc_roll","total_tested_deng","pcr_pos","igm_pos","ns1_pos","ali","ali_inc","ali_inc_roll","deng_roll","deng_inc","deng_inc_roll"
"1","0-4",2026-01-18,45,5,1,0,0,0,0,0,111.111111111111,170.068027210884,22.2222222222222,27.2108843537415,22.2222222222222,27.2108843537415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6054421768707,0,0,0
"2","0-4",2026-01-25,65,9,0,0,0,0,0,0,138.461538461538,125,0,5.20833333333333,0,5.20833333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15.3846153846154,15.625,1,0,5.20833333333333
"3","0-4",2026-02-01,82,10,0,0,0,0,0,0,121.951219512195,168.888888888889,0,4.44444444444444,0,4.44444444444444,0,0,0,4.44444444444444,0,4.44444444444444,0,0,0,0,2,0,1,0,2,24.390243902439,17.7777777777778,2,12.1951219512195,8.88888888888889
"4","0-4",2026-02-08,78,19,1,0,1,1,0,0,243.589743589744,166.666666666667,12.8205128205128,8.54700854700855,12.8205128205128,8.54700854700855,0,0,12.8205128205128,4.27350427350427,12.8205128205128,12.8205128205128,0,0,0,0,1,0,1,0,1,12.8205128205128,17.0940170940171,2,12.8205128205128,8.54700854700855
"5","0-4",2026-02-15,74,10,1,0,0,2,0,0,135.135135135135,203.389830508475,13.5135135135135,12.7118644067797,13.5135135135135,12.7118644067797,0,0,0,4.23728813559322,27.027027027027,12.7118644067797,0,0,0,0,1,0,0,0,1,13.5135135135135,8.47457627118644,1,0,4.23728813559322
"6","0-4",2026-02-22,84,19,1,0,0,0,0,0,226.190476190476,179.166666666667,11.9047619047619,8.33333333333333,11.9047619047619,8.33333333333333,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,0
"7","0-4",2026-03-01,82,14,0,0,0,0,0,0,170.731707317073,207.317073170732,0,12.1951219512195,0,12.1951219512195,0,0,0,0,0,8.13008130081301,0,0,0,0,1,0,0,0,1,12.1951219512195,12.1951219512195,1,0,4.0650406504065
"8","0-4",2026-03-08,80,18,2,0,0,2,0,0,225,167.364016736402,25,12.5523012552301,25,12.5523012552301,0,0,0,0,25,8.36820083682008,0,0,0,0,2,0,1,0,2,25,16.7364016736402,1,12.5,4.18410041841004
"9","0-4",2026-03-15,77,8,1,0,0,0,0,0,103.896103896104,156.25,12.987012987013,19.53125,12.987012987013,19.53125,0,0,0,0,0,7.8125,0,0,0,0,1,0,0,0,1,12.987012987013,15.625,1,0,3.90625
"10","0-4",2026-03-22,99,14,2,0,0,0,0,0,141.414141414141,103.942652329749,20.2020202020202,10.752688172043,20.2020202020202,10.752688172043,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10.1010101010101,10.752688172043,0,0,0
"11","0-4",2026-03-29,103,7,0,0,0,0,0,0,67.9611650485437,115.625,0,18.75,0,18.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9.70873786407767,6.25,0,0,0
"12","0-4",2026-04-05,118,16,4,0,0,0,0,0,135.593220338983,112.391930835735,33.8983050847458,25.9365994236311,33.8983050847458,25.9365994236311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64553314121038,0,0,0
"13","0-4",2026-04-12,126,16,5,0,0,0,0,0,126.984126984127,106.267029972752,39.6825396825397,24.5231607629428,39.6825396825397,24.5231607629428,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,15.8730158730159,8.17438692098093,0,0,0
