"","municipio_recent","week_start","surveilled","tested","inf_a_pos","inf_b_pos","sars_cov2_pos","vsr_pos","inf_a_h1n1","inf_a_h3n2","ili_inc","ili_inc_roll","flu_gen_inc","flu_gen_inc_roll","flua_inc","flua_inc_roll","flub_inc","flub_inc_roll","scv2_inc","scv2_inc_roll","rsv_inc","rsv_inc_roll","h1n1_inc","h1n1_inc_roll","h3n2_inc","h3n2_inc_roll","total_tested_deng","pcr_pos","igm_pos","ns1_pos","ali","ali_inc","ali_inc_roll","deng_roll","deng_inc","deng_inc_roll"
"1","Coatepeque",2026-01-18,61,12,1,0,0,0,0,0,196.72131147541,129.032258064516,16.3934426229508,5.3763440860215,16.3934426229508,5.3763440860215,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,32.7868852459016,38.8349514563107,0,0,0
"2","Coatepeque",2026-01-25,72,3,0,0,0,0,0,0,41.6666666666667,128.888888888889,0,4.44444444444444,0,4.44444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Coatepeque",2026-02-01,92,14,0,0,0,0,0,0,152.173913043478,138.211382113821,0,12.1951219512195,0,12.1951219512195,0,0,0,8.13008130081301,0,0,0,0,0,0,3,0,0,0,3,32.6086956521739,51.063829787234,1,0,4.25531914893617
"4","Coatepeque",2026-02-08,82,17,3,0,2,0,0,0,207.317073170732,183.673469387755,36.5853658536585,12.2448979591837,36.5853658536585,12.2448979591837,0,0,24.390243902439,8.16326530612245,0,8.16326530612245,0,0,0,0,7,0,1,0,7,85.3658536585366,53.0612244897959,1,12.1951219512195,4.08163265306122
"5","Coatepeque",2026-02-15,71,14,0,0,0,2,0,0,197.183098591549,219.512195121951,0,20.3252032520325,0,20.3252032520325,0,0,0,8.13008130081301,28.169014084507,8.13008130081301,0,0,0,0,3,0,0,0,3,42.2535211267606,52.8455284552846,2,0,8.13008130081301
"6","Coatepeque",2026-02-22,93,23,2,0,0,0,0,0,247.311827956989,213.438735177866,21.505376344086,7.90513833992095,21.505376344086,7.90513833992095,0,0,0,0,0,7.90513833992095,0,0,0,0,3,0,1,0,3,32.258064516129,35.5731225296443,1,10.752688172043,3.95256916996047
"7","Coatepeque",2026-03-01,89,17,0,0,0,0,0,0,191.011235955056,200.743494423792,0,18.5873605947955,0,18.5873605947955,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,33.7078651685393,29.7397769516729,1,0,3.71747211895911
"8","Coatepeque",2026-03-08,87,14,3,0,0,0,0,0,160.919540229885,130.909090909091,34.4827586206897,14.5454545454545,34.4827586206897,14.5454545454545,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,22.9885057471264,29.0909090909091,0,0,0
"9","Coatepeque",2026-03-15,99,5,1,0,0,0,0,0,50.5050505050505,93.4579439252336,10.1010101010101,18.6915887850467,10.1010101010101,18.6915887850467,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,30.3030303030303,28.0373831775701,0,0,0
"10","Coatepeque",2026-03-22,135,11,2,0,0,0,0,0,81.4814814814815,70.3125,14.8148148148148,10.4166666666667,14.8148148148148,10.4166666666667,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,29.6296296296296,26.0416666666667,0,0,0
