"","sex","week_start","surveilled","tested","inf_a_pos","inf_b_pos","sars_cov2_pos","vsr_pos","inf_a_h1n1","inf_a_h3n2","ili_inc","ili_inc_roll","flu_gen_inc","flu_gen_inc_roll","flua_inc","flua_inc_roll","flub_inc","flub_inc_roll","scv2_inc","scv2_inc_roll","rsv_inc","rsv_inc_roll","h1n1_inc","h1n1_inc_roll","h3n2_inc","h3n2_inc_roll","total_tested_deng","pcr_pos","igm_pos","ns1_pos","ali","ali_inc","ali_inc_roll","deng_roll","deng_inc","deng_inc_roll"
"1","Male",2026-01-04,4,11,0,0,0,0,0,0,2750,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA
"2","Male",2026-01-11,51,16,3,0,0,0,0,0,313.725490196078,260.869565217391,58.8235294117647,26.0869565217391,58.8235294117647,26.0869565217391,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,39.2156862745098,17.3913043478261,0,0,0
"3","Male",2026-01-18,60,3,0,0,0,0,0,0,50,125.65445026178,0,15.7068062827225,0,15.7068062827225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7068062827225,0,0,0
"4","Male",2026-01-25,80,5,0,0,0,0,0,0,62.5,61.9834710743802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12.5,20.6611570247934,1,0,4.13223140495868
"5","Male",2026-02-01,102,7,0,0,0,0,0,0,68.6274509803922,113.074204946996,0,3.53356890459364,0,3.53356890459364,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,39.2156862745098,24.7349823321555,2,9.80392156862745,7.06713780918728
"6","Male",2026-02-08,101,20,1,0,0,0,0,0,198.019801980198,128.289473684211,9.9009900990099,6.57894736842105,9.9009900990099,6.57894736842105,0,0,0,0,0,3.28947368421053,0,0,0,0,2,0,1,0,2,19.8019801980198,23.0263157894737,2,9.9009900990099,6.57894736842105
"7","Male",2026-02-15,101,12,1,0,0,1,0,0,118.811881188119,153.846153846154,9.9009900990099,13.3779264214047,9.9009900990099,13.3779264214047,0,0,0,0,9.9009900990099,3.34448160535117,0,0,0,0,1,0,0,0,1,9.9009900990099,13.3779264214047,1,0,3.34448160535117
"8","Male",2026-02-22,97,14,2,0,0,0,0,0,144.329896907216,123.745819397993,20.6185567010309,10.0334448160535,20.6185567010309,10.0334448160535,0,0,0,0,0,3.34448160535117,0,0,0,0,1,0,0,0,1,10.3092783505155,6.68896321070234,0,0,0
"9","Male",2026-03-01,101,11,0,0,0,0,0,0,108.910891089109,143.8127090301,0,20.066889632107,0,20.066889632107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4113712374582,1,0,3.34448160535117
"10","Male",2026-03-08,101,18,4,0,0,0,0,0,178.217821782178,123.376623376623,39.6039603960396,22.7272727272727,39.6039603960396,22.7272727272727,0,0,0,0,0,0,0,0,0,0,6,0,1,0,6,59.4059405940594,25.974025974026,1,9.9009900990099,3.24675324675325
