"","week_start","surveilled","fiebre","tos","dolor_oido","congestion_nasal","escurrimiento_nasal","dolor_garganta","vomito_despues","silbido_respiro","dificultad_respirar","dolor_muscular","dolor_cabeza","dolor_articular","sarpullido","ojos_rojos","articulares_hinchados","dolor_ojos","diarrea","fatiga","perdida_peso","convulsiones","labios_azules","perdida_gusto","dolor_cuerpo","dolor_hueso","irritabilidad","letargo","dificultad_comer","fiebre_inc","tos_inc","dolor_oido_inc","congestion_nasal_inc","escurrimiento_nasal_inc","dolor_garganta_inc","vomito_despues_inc","silbido_respiro_inc","dificultad_respirar_inc","dolor_muscular_inc","dolor_cabeza_inc","dolor_articular_inc","sarpullido_inc","ojos_rojos_inc","articulares_hinchados_inc","dolor_ojos_inc","diarrea_inc","fatiga_inc","perdida_peso_inc","convulsiones_inc","labios_azules_inc","perdida_gusto_inc","dolor_cuerpo_inc","dolor_hueso_inc","irritabilidad_inc","letargo_inc","dificultad_comer_inc","fiebre_inc_roll","tos_inc_roll","dolor_oido_inc_roll","congestion_nasal_inc_roll","escurrimiento_nasal_inc_roll","dolor_garganta_inc_roll","vomito_despues_inc_roll","silbido_respiro_inc_roll","dificultad_respirar_inc_roll","dolor_muscular_inc_roll","dolor_cabeza_inc_roll","dolor_articular_inc_roll","sarpullido_inc_roll","ojos_rojos_inc_roll","articulares_hinchados_inc_roll","dolor_ojos_inc_roll","diarrea_inc_roll","fatiga_inc_roll","perdida_peso_inc_roll","convulsiones_inc_roll","labios_azules_inc_roll","perdida_gusto_inc_roll","dolor_cuerpo_inc_roll","dolor_hueso_inc_roll","irritabilidad_inc_roll","letargo_inc_roll","dificultad_comer_inc_roll"
"1",2026-01-18,167,0,14,2,10,16,5,1,0,2,1,2,1,1,0,0,1,3,0,2,0,0,0,0,1,0,0,1,0,83.8323353293413,11.9760479041916,59.8802395209581,95.8083832335329,29.940119760479,5.98802395209581,0,11.9760479041916,5.98802395209581,11.9760479041916,5.98802395209581,5.98802395209581,0,0,5.98802395209581,17.9640718562874,0,11.9760479041916,0,0,0,0,5.98802395209581,0,0,5.98802395209581,13.7795275590551,76.7716535433071,5.90551181102362,49.2125984251969,74.8031496062992,33.4645669291339,3.93700787401575,7.8740157480315,11.8110236220472,7.8740157480315,15.748031496063,3.93700787401575,3.93700787401575,1.96850393700787,0,3.93700787401575,9.84251968503937,3.93700787401575,9.84251968503937,0,0,3.93700787401575,3.93700787401575,3.93700787401575,3.93700787401575,0,9.84251968503937
"2",2026-01-25,212,3,11,1,5,11,6,1,1,2,1,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,14.1509433962264,51.8867924528302,4.71698113207547,23.5849056603774,51.8867924528302,28.3018867924528,4.71698113207547,4.71698113207547,9.43396226415094,4.71698113207547,14.1509433962264,4.71698113207547,4.71698113207547,0,0,0,4.71698113207547,0,0,0,0,0,4.71698113207547,0,0,0,4.71698113207547,18.6046511627907,75.968992248062,6.2015503875969,46.5116279069767,83.7209302325581,41.8604651162791,6.2015503875969,4.65116279069767,15.5038759689922,7.75193798449612,15.5038759689922,4.65116279069767,3.10077519379845,3.10077519379845,0,4.65116279069767,7.75193798449612,0,4.65116279069767,0,0,0,7.75193798449612,3.10077519379845,4.65116279069767,0,7.75193798449612
"3",2026-02-01,266,9,24,1,15,27,16,2,2,6,3,5,1,0,2,0,2,1,0,1,0,0,0,4,1,3,0,3,33.8345864661654,90.2255639097744,3.7593984962406,56.390977443609,101.503759398496,60.1503759398496,7.5187969924812,7.5187969924812,22.5563909774436,11.2781954887218,18.796992481203,3.7593984962406,0,7.5187969924812,0,7.5187969924812,3.7593984962406,0,3.7593984962406,0,0,0,15.0375939849624,3.7593984962406,11.2781954887218,0,11.2781954887218,27.1370420624152,89.5522388059701,6.7842605156038,50.2035278154681,99.0502035278155,50.2035278154681,10.8548168249661,9.49796472184532,23.0664857530529,12.2116689280868,23.0664857530529,4.07055630936228,1.35685210312076,2.71370420624152,0,2.71370420624152,9.49796472184532,4.07055630936228,5.42740841248304,0,0,2.71370420624152,12.2116689280868,5.42740841248304,5.42740841248304,0,8.14111261872456
"4",2026-02-08,259,8,31,3,17,35,15,5,4,9,5,9,1,0,0,0,0,5,3,3,0,0,2,4,3,1,0,2,30.8880308880309,119.69111969112,11.5830115830116,65.6370656370656,135.135135135135,57.9150579150579,19.3050193050193,15.4440154440154,34.7490347490347,19.3050193050193,34.7490347490347,3.86100386100386,0,0,0,0,19.3050193050193,11.5830115830116,11.5830115830116,0,0,7.72200772200772,15.4440154440154,11.5830115830116,3.86100386100386,0,7.72200772200772,28.4237726098191,108.527131782946,7.75193798449612,60.7235142118863,111.111111111111,56.8475452196382,10.3359173126615,9.04392764857881,27.1317829457364,12.9198966408269,21.9638242894057,3.87596899224806,2.58397932816537,3.87596899224806,0,5.16795865633075,9.04392764857881,5.16795865633075,5.16795865633075,0,0,3.87596899224806,12.9198966408269,5.16795865633075,7.75193798449612,0,6.45994832041344
"5",2026-02-15,249,5,29,2,15,24,13,1,1,6,2,3,1,2,1,0,2,1,1,0,0,0,1,2,0,2,0,0,20.0803212851406,116.465863453815,8.03212851405623,60.2409638554217,96.3855421686747,52.2088353413655,4.01606425702811,4.01606425702811,24.0963855421687,8.03212851405623,12.0481927710843,4.01606425702811,8.03212851405623,4.01606425702811,0,8.03212851405623,4.01606425702811,4.01606425702811,0,0,0,4.01606425702811,8.03212851405623,0,8.03212851405623,0,0,21.8790218790219,120.978120978121,9.00900900900901,74.6460746460747,110.682110682111,52.7670527670528,11.5830115830116,9.00900900900901,25.7400257400257,12.8700128700129,19.3050193050193,2.57400257400257,2.57400257400257,2.57400257400257,0,2.57400257400257,11.5830115830116,5.14800514800515,5.14800514800515,0,0,5.14800514800515,10.2960102960103,5.14800514800515,5.14800514800515,0,3.86100386100386
"6",2026-02-22,269,4,34,2,26,27,13,3,2,5,3,3,0,0,1,0,0,3,0,1,0,0,1,2,1,1,0,1,14.8698884758364,126.39405204461,7.43494423791822,96.6542750929368,100.371747211896,48.3271375464684,11.1524163568773,7.43494423791822,18.5873605947955,11.1524163568773,11.1524163568773,0,0,3.71747211895911,0,0,11.1524163568773,0,3.71747211895911,0,0,3.71747211895911,7.43494423791822,3.71747211895911,3.71747211895911,0,3.71747211895911,25.062656641604,129.072681704261,5.0125313283208,96.4912280701754,109.022556390977,56.390977443609,10.0250626566416,15.0375939849624,21.3032581453634,11.2781954887218,16.2907268170426,7.5187969924812,3.7593984962406,5.0125313283208,2.5062656641604,5.0125313283208,11.2781954887218,5.0125313283208,3.7593984962406,0,0,6.265664160401,10.0250626566416,7.5187969924812,10.0250626566416,0,3.7593984962406
"7",2026-03-01,280,11,40,0,36,36,19,4,9,6,4,7,5,1,2,2,2,5,3,2,0,0,3,4,5,5,0,2,39.2857142857143,142.857142857143,0,128.571428571429,128.571428571429,67.8571428571429,14.2857142857143,32.1428571428571,21.4285714285714,14.2857142857143,25,17.8571428571429,3.57142857142857,7.14285714285714,7.14285714285714,7.14285714285714,17.8571428571429,10.7142857142857,7.14285714285714,0,0,10.7142857142857,14.2857142857143,17.8571428571429,17.8571428571429,0,7.14285714285714,25.2707581227437,108.303249097473,4.81347773766546,93.8628158844765,96.2695547533093,48.1347773766546,13.23706377858,14.4404332129964,20.4572803850782,13.23706377858,18.0505415162455,10.8303249097473,1.20336943441637,3.6101083032491,2.40673886883273,4.81347773766546,10.8303249097473,3.6101083032491,3.6101083032491,0,0,7.2202166064982,12.0336943441637,12.0336943441637,7.2202166064982,0,3.6101083032491
"8",2026-03-08,282,6,16,2,16,17,8,4,1,6,4,5,4,0,0,0,2,1,0,0,0,0,2,4,4,0,0,0,21.2765957446809,56.7375886524823,7.09219858156028,56.7375886524823,60.2836879432624,28.3687943262411,14.1843971631206,3.54609929078014,21.2765957446809,14.1843971631206,17.7304964539007,14.1843971631206,0,0,0,7.09219858156028,3.54609929078014,0,0,0,0,7.09219858156028,14.1843971631206,14.1843971631206,0,0,0,33.9578454332553,90.1639344262295,4.68384074941452,85.480093676815,86.6510538641686,48.0093676814988,14.0515222482436,14.0515222482436,21.0772833723653,17.5644028103045,21.0772833723653,15.2224824355972,1.17096018735363,5.85480093676815,2.34192037470726,9.36768149882904,12.8805620608899,8.19672131147541,4.68384074941452,0,0,9.36768149882904,17.5644028103045,15.2224824355972,10.5386416861827,0,4.68384074941452
"9",2026-03-15,292,12,21,2,21,21,14,4,2,6,7,6,4,0,3,0,4,5,4,2,0,0,3,7,4,4,0,2,41.0958904109589,71.9178082191781,6.84931506849315,71.9178082191781,71.9178082191781,47.9452054794521,13.6986301369863,6.84931506849315,20.5479452054795,23.972602739726,20.5479452054795,13.6986301369863,0,10.2739726027397,0,13.6986301369863,17.1232876712329,13.6986301369863,6.84931506849315,0,0,10.2739726027397,23.972602739726,13.6986301369863,13.6986301369863,0,6.84931506849315,28.3842794759825,69.8689956331878,5.4585152838428,72.0524017467249,73.1441048034934,33.8427947598253,8.73362445414847,3.27510917030568,16.3755458515284,15.2838427947598,14.1921397379913,10.9170305676856,1.09170305676856,3.27510917030568,0,6.55021834061135,12.0087336244541,4.36681222707424,3.27510917030568,0,0,6.55021834061135,12.0087336244541,9.82532751091703,7.64192139737991,0,2.18340611353712
"10",2026-03-22,342,8,27,1,29,29,9,0,0,3,3,2,2,1,0,0,0,5,0,1,0,0,1,0,1,3,0,0,23.3918128654971,78.9473684210526,2.92397660818713,84.7953216374269,84.7953216374269,26.3157894736842,0,0,8.7719298245614,8.7719298245614,5.84795321637427,5.84795321637427,2.92397660818713,0,0,0,14.6198830409357,0,2.92397660818713,0,0,2.92397660818713,0,2.92397660818713,8.7719298245614,0,0,21.3414634146341,58.9430894308943,3.04878048780488,64.0243902439024,64.0243902439024,25.4065040650407,4.0650406504065,2.03252032520325,9.14634146341463,10.1626016260163,9.14634146341463,6.09756097560976,1.01626016260163,3.04878048780488,0,4.0650406504065,12.1951219512195,4.0650406504065,3.04878048780488,0,0,4.0650406504065,7.11382113821138,5.08130081300813,8.13008130081301,0,2.03252032520325
