"week_start","lugar","anorexia_d","dolor_articular_d","articulares_hinchados_d","fatiga_d","dolor_cabeza_d","conjuntivitis_d","diarrea_d","dolor_abdominal_d","enterorragia_d","epistaxis_d","sarpullido_d","fiebre_d","hemorragia_encías_d","hemorragia_urinaria_d","hemorragia_vaginal_d","melena_d","dolor_cuerpo_d","petequias_d","piel_fria_d","sudoracion_d","tos_d","vomito_d","vomito_sangre_d","manifestaciones_neurologicas_d","source","denom","total_tested","n","n_roll","denom_roll","total_tested_roll","anorexia_d_roll","dolor_articular_d_roll","articulares_hinchados_d_roll","fatiga_d_roll","dolor_cabeza_d_roll","conjuntivitis_d_roll","diarrea_d_roll","dolor_abdominal_d_roll","enterorragia_d_roll","epistaxis_d_roll","sarpullido_d_roll","fiebre_d_roll","hemorragia_encías_d_roll","hemorragia_urinaria_d_roll","hemorragia_vaginal_d_roll","melena_d_roll","dolor_cuerpo_d_roll","petequias_d_roll","piel_fria_d_roll","sudoracion_d_roll","tos_d_roll","vomito_d_roll","vomito_sangre_d_roll","manifestaciones_neurologicas_d_roll","anorexia_d_inc","dolor_articular_d_inc","articulares_hinchados_d_inc","fatiga_d_inc","dolor_cabeza_d_inc","conjuntivitis_d_inc","diarrea_d_inc","dolor_abdominal_d_inc","enterorragia_d_inc","epistaxis_d_inc","sarpullido_d_inc","fiebre_d_inc","hemorragia_encías_d_inc","hemorragia_urinaria_d_inc","hemorragia_vaginal_d_inc","melena_d_inc","dolor_cuerpo_d_inc","petequias_d_inc","piel_fria_d_inc","sudoracion_d_inc","tos_d_inc","vomito_d_inc","vomito_sangre_d_inc","manifestaciones_neurologicas_d_inc"
2025-06-15,"Banasa",0,3,2,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,"Deng",3000,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.666666666666667,0,2,0,0,0,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,2.33333333333333,0,0,0
2025-06-22,"Banasa",0,5,2,0,9,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,"Deng",3000,9,1,3,9000,22,0,1.11111111111111,0.444444444444444,0,1.88888888888889,0,0.222222222222222,0.333333333333333,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,1.66666666666667,0.111111111111111,0,0,0,1.66666666666667,0.666666666666667,0,3,0,0.666666666666667,0.666666666666667,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,2,0,0,0
2025-06-29,"Banasa",0,2,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,"Deng",3000,3,1,3,9000,15,0,0.777777777777778,0.222222222222222,0,1.55555555555556,0,0.222222222222222,0.444444444444444,0,0,0,1,0,0,0,0,0.111111111111111,0,0,0,1.11111111111111,0.111111111111111,0,0,0,0.666666666666667,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0
2025-07-06,"Banasa",0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,"Deng",3000,3,1,3,9000,8,0,0.333333333333333,0.111111111111111,0,0.777777777777778,0,0,0.444444444444444,0,0,0,0.666666666666667,0,0,0,0,0.111111111111111,0,0,0.111111111111111,0.555555555555556,0.111111111111111,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0
2025-07-13,"Banasa",0,1,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,"Deng",3000,2,1,3,9000,6,0,0.222222222222222,0.111111111111111,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0.444444444444444,0,0,0,0,0.111111111111111,0,0,0.111111111111111,0.444444444444444,0,0,0,0,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
2025-07-27,"Banasa",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"Deng",3000,1,1,3,9000,6,0,0.555555555555556,0.444444444444444,0,0.666666666666667,0,0.111111111111111,0.222222222222222,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.111111111111111,0.222222222222222,0.111111111111111,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0
2025-08-03,"Banasa",0,3,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Deng",3000,3,1,3,9000,5,0,0.444444444444444,0.333333333333333,0,0.555555555555556,0,0.111111111111111,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,1,1,0,1,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0
2025-08-10,"Banasa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deng",3000,1,1,3,9000,6,0,0.555555555555556,0.333333333333333,0,0.666666666666667,0,0.111111111111111,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-17,"Banasa",0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Deng",3000,2,1,3,9000,8,0,0.555555555555556,0.111111111111111,0,0.888888888888889,0,0.111111111111111,0.111111111111111,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0.666666666666667,0,0,0.666666666666667,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-24,"Banasa",0,3,1,0,5,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,"Deng",3000,5,1,3,9000,9,0,0.777777777777778,0.111111111111111,0,0.888888888888889,0,0.222222222222222,0.111111111111111,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0.111111111111111,0.333333333333333,0,0,0,0,1,0.333333333333333,0,1.66666666666667,0,0.333333333333333,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
