"","month","year","n_positive","fiebre","tos","dolor_oido","congestion_nasal","escurrimiento_nasal","dolor_garganta","vomito_despues","silbido_respiro","dificultad_respirar","dolor_muscular","dolor_cabeza","dolor_articular","sarpullido","ojos_rojos","articulares_hinchados","dolor_ojos","diarrea","fatiga","perdida_peso","convulsiones","labios_azules","perdida_gusto","dolor_cuerpo","dolor_hueso","irritabilidad","letargo","dificultad_comer","ili","fiebre_pct","tos_pct","dolor_oido_pct","congestion_nasal_pct","escurrimiento_nasal_pct","dolor_garganta_pct","vomito_despues_pct","silbido_respiro_pct","dificultad_respirar_pct","dolor_muscular_pct","dolor_cabeza_pct","dolor_articular_pct","sarpullido_pct","ojos_rojos_pct","articulares_hinchados_pct","dolor_ojos_pct","diarrea_pct","fatiga_pct","perdida_peso_pct","convulsiones_pct","labios_azules_pct","perdida_gusto_pct","dolor_cuerpo_pct","dolor_hueso_pct","irritabilidad_pct","letargo_pct","dificultad_comer_pct","ili_pct","pos_pathogen"
"1",1,2026,4,1,4,1,3,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,25,100,25,75,75,25,0,25,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,25,0,25,25,"inf_a_pos"
"2",2,2026,14,6,8,1,5,6,6,1,1,4,3,4,0,1,0,0,0,0,0,0,0,0,1,4,3,1,0,1,6,42.8571428571429,57.1428571428571,7.14285714285714,35.7142857142857,42.8571428571429,42.8571428571429,7.14285714285714,7.14285714285714,28.5714285714286,21.4285714285714,28.5714285714286,0,7.14285714285714,0,0,0,0,0,0,0,0,7.14285714285714,28.5714285714286,21.4285714285714,7.14285714285714,0,7.14285714285714,42.8571428571429,"inf_a_pos"
"3",3,2026,29,14,23,4,20,21,15,5,2,7,9,9,6,0,1,0,5,6,3,2,0,0,5,8,5,2,0,1,14,48.2758620689655,79.3103448275862,13.7931034482759,68.9655172413793,72.4137931034483,51.7241379310345,17.2413793103448,6.89655172413793,24.1379310344828,31.0344827586207,31.0344827586207,20.6896551724138,0,3.44827586206897,0,17.2413793103448,20.6896551724138,10.3448275862069,6.89655172413793,0,0,17.2413793103448,27.5862068965517,17.2413793103448,6.89655172413793,0,3.44827586206897,48.2758620689655,"inf_a_pos"
"4",4,2026,24,9,14,0,15,15,6,2,1,2,2,2,0,0,2,0,0,7,0,2,0,0,0,1,0,1,0,3,8,37.5,58.3333333333333,0,62.5,62.5,25,8.33333333333333,4.16666666666667,8.33333333333333,8.33333333333333,8.33333333333333,0,0,8.33333333333333,0,0,29.1666666666667,0,8.33333333333333,0,0,0,4.16666666666667,0,4.16666666666667,0,12.5,33.3333333333333,"inf_a_pos"
"5",5,2026,12,5,7,1,9,9,2,1,1,2,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,3,41.6666666666667,58.3333333333333,8.33333333333333,75,75,16.6666666666667,8.33333333333333,8.33333333333333,16.6666666666667,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,0,0,8.33333333333333,8.33333333333333,8.33333333333333,0,8.33333333333333,0,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,0,0,25,"inf_a_pos"
"6",6,2026,6,0,4,0,6,6,2,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,66.6666666666667,0,100,100,33.3333333333333,0,0,0,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,0,0,0,0,0,16.6666666666667,0,0,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,0,16.6666666666667,0,"inf_a_pos"
"7",8,2026,7,1,4,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,57.1428571428571,0,85.7142857142857,85.7142857142857,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"inf_b_pos"
"8",9,2026,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"inf_b_pos"
"9",2,2026,2,2,2,0,2,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,100,100,0,100,50,100,50,0,0,50,50,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,100,"sars_cov2_pos"
"10",6,2026,3,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.6666666666667,0,66.6666666666667,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,"sars_cov2_pos"
"11",7,2026,46,8,26,1,26,26,9,0,0,3,4,2,3,0,2,0,3,2,1,1,0,0,0,3,3,6,0,1,6,17.3913043478261,56.5217391304348,2.17391304347826,56.5217391304348,56.5217391304348,19.5652173913043,0,0,6.52173913043478,8.69565217391304,4.34782608695652,6.52173913043478,0,4.34782608695652,0,6.52173913043478,4.34782608695652,2.17391304347826,2.17391304347826,0,0,0,6.52173913043478,6.52173913043478,13.0434782608696,0,2.17391304347826,13.0434782608696,"sars_cov2_pos"
"12",8,2026,12,0,7,0,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58.3333333333333,0,66.6666666666667,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,"sars_cov2_pos"
"13",2,2026,5,2,5,1,2,5,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,40,100,20,40,100,40,20,20,0,0,20,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,40,"vsr_pos"
"14",3,2026,2,1,2,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,50,100,0,50,50,50,0,50,50,0,50,0,0,0,0,0,50,0,50,0,0,0,0,0,50,0,0,50,"vsr_pos"
"15",4,2026,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"vsr_pos"
"16",5,2026,3,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,33.3333333333333,33.3333333333333,0,33.3333333333333,33.3333333333333,0,0,0,0,33.3333333333333,0,33.3333333333333,33.3333333333333,0,0,0,33.3333333333333,0,0,0,0,0,0,0,33.3333333333333,0,0,0,"vsr_pos"
"17",7,2026,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,"vsr_pos"
"18",8,2026,12,0,7,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3333333333333,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"vsr_pos"
"19",9,2026,3,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,0,100,100,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,"vsr_pos"
"20",2,2026,5,3,3,0,3,4,3,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,60,60,0,60,80,60,0,20,20,20,40,20,0,0,0,0,0,0,0,0,0,0,20,20,20,0,20,60,"deng_pos"
"21",5,2026,2,2,2,0,2,2,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,100,100,0,100,100,100,0,0,0,50,50,0,50,0,0,50,0,0,0,0,0,50,50,0,0,0,0,100,"deng_pos"
"22",6,2026,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"deng_pos"
"23",7,2026,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"deng_pos"
"24",8,2026,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,"deng_pos"
"25",9,2026,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"deng_pos"
