"","week_start","tested","total_pos","total_neg","sars_cov2_pos","sars_cov2_neg","inf_a_pos","inf_a_neg","inf_b_pos","inf_b_neg","vsr_pos","vsr_neg","inf_a_h1n1","inf_a_h3n2","inf_a_nosub","coinfec"
"1",2025-06-15,11,2,9,0,11,1,10,0,10,0,10,0,0,1,1
"2",2025-06-22,9,1,8,0,9,1,8,0,9,0,9,0,0,1,0
"3",2025-06-29,8,2,6,0,8,1,7,0,8,0,8,0,0,1,0
"4",2025-07-06,11,0,11,0,11,0,11,0,11,0,11,0,0,0,0
"5",2025-07-13,17,0,17,0,17,0,17,0,17,0,17,0,0,0,0
"6",2025-07-20,6,1,5,0,6,1,5,0,6,0,6,0,0,1,0
"7",2025-07-27,12,0,12,0,12,0,12,0,12,0,12,0,0,0,0
"8",2025-08-03,12,1,11,1,11,0,12,0,12,0,12,0,0,0,0
"9",2025-08-10,7,2,5,0,6,1,5,0,7,0,7,0,0,2,1
"10",2025-08-17,15,2,13,2,13,0,15,0,15,0,15,0,0,0,0
"11",2025-08-24,15,2,13,1,14,0,15,0,15,1,14,0,0,0,0
"12",2025-08-31,8,2,6,0,8,0,8,0,8,2,6,0,0,0,0
"13",2025-09-07,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0
"14",2025-09-14,11,3,8,0,11,0,11,0,11,3,8,0,0,0,0
"15",2025-09-21,10,1,9,0,10,1,9,0,10,0,10,0,0,1,0
"16",2025-09-28,10,1,9,0,10,0,10,0,10,1,9,0,0,0,0
"17",2025-10-05,14,0,14,0,14,0,14,0,14,0,14,0,0,0,0
"18",2025-10-12,8,1,7,1,7,0,8,0,8,0,8,0,0,0,0
"19",2025-10-19,4,1,3,0,4,0,4,0,4,1,3,0,0,0,0
"20",2025-10-26,11,4,7,0,11,1,10,0,11,3,8,0,0,1,0
"21",2025-11-02,18,6,12,0,17,2,16,0,18,3,14,0,0,2,1
"22",2025-11-09,23,3,20,0,23,0,23,0,23,3,20,0,0,0,0
"23",2025-11-16,29,12,17,1,25,0,29,0,29,8,18,0,0,0,3
"24",2025-11-23,19,8,11,0,19,0,19,0,19,8,11,0,0,0,0
"25",2025-11-30,27,7,20,1,26,0,27,0,27,6,21,0,0,0,0
"26",2025-12-07,17,3,14,0,17,0,17,0,17,3,14,0,0,0,0
"27",2025-12-14,21,1,20,0,21,0,21,0,21,1,20,0,0,0,0
"28",2025-12-21,16,1,15,0,16,1,15,0,16,0,16,0,0,1,0
"29",2025-12-28,22,6,16,1,21,0,22,0,22,5,17,0,0,0,0
"30",2026-01-04,29,3,26,0,29,2,27,0,29,1,28,0,0,2,0
"31",2026-01-11,21,3,18,0,21,3,18,0,21,0,21,0,0,3,0
"32",2026-01-18,15,1,14,0,15,1,14,0,15,0,15,0,0,1,0
"33",2026-01-25,16,1,15,0,16,0,16,0,16,0,16,0,0,0,0
"34",2026-02-01,24,1,23,0,24,1,23,0,24,0,24,0,0,1,0
"35",2026-02-08,38,9,29,2,36,4,34,0,38,3,35,0,0,4,0
"36",2026-02-15,28,3,25,0,28,1,27,0,28,2,26,0,0,1,0
"37",2026-02-22,38,3,35,0,38,3,35,0,38,0,38,0,0,3,0
"38",2026-03-01,32,0,32,0,32,0,32,0,32,0,32,0,0,0,0
"39",2026-03-08,42,11,31,0,42,9,33,0,42,2,40,0,0,9,0
"40",2026-03-15,21,7,14,0,21,7,14,0,21,0,21,0,0,7,0
"41",2026-03-22,28,8,20,0,28,8,20,0,28,0,28,0,0,8,0
"42",2026-03-29,20,1,19,0,20,1,19,0,20,0,20,0,0,1,0
"43",2026-04-05,33,7,26,0,33,6,27,0,33,1,32,0,0,6,0
"44",2026-04-12,28,9,19,0,28,8,20,0,28,0,28,0,0,8,0
"45",2026-04-19,25,2,23,0,25,2,23,0,25,0,25,0,0,2,0
"46",2026-04-26,29,2,27,0,29,2,27,0,29,0,29,0,0,2,0
"47",2026-05-03,24,5,19,0,24,5,19,0,24,0,24,0,0,5,0
"48",2026-05-10,33,3,30,0,33,2,31,0,33,1,32,0,0,2,0
"49",2026-05-17,44,0,44,0,44,0,44,0,44,0,44,0,0,0,0
"50",2026-05-24,33,4,29,0,33,3,30,0,33,1,32,0,0,3,0
"51",2026-05-31,29,4,25,1,28,3,26,0,29,0,29,0,0,3,0
"52",2026-06-07,26,0,26,0,26,0,26,0,26,0,26,0,0,0,0
"53",2026-06-14,38,1,37,0,38,1,37,0,38,0,38,0,0,1,0
"54",2026-06-21,35,3,32,1,34,2,33,0,35,0,35,0,0,2,0
"55",2026-06-28,32,3,29,3,29,0,32,0,32,0,32,0,0,0,0
"56",2026-07-05,23,5,18,5,18,0,23,0,23,0,23,0,0,0,0
"57",2026-07-12,38,8,30,8,30,0,38,0,38,0,38,0,0,0,0
"58",2026-07-19,36,15,21,15,21,0,36,0,36,0,36,0,0,0,0
"59",2026-07-26,36,6,30,5,31,0,36,0,36,1,35,0,0,0,0
"60",2026-08-02,31,5,26,3,27,0,31,0,31,1,29,0,0,0,1
"61",2026-08-09,17,2,15,2,15,0,17,0,17,0,17,0,0,0,0
"62",2026-08-16,33,3,30,1,32,0,33,1,32,1,32,0,0,0,0
"63",2026-08-23,29,11,18,2,27,0,29,4,25,5,24,0,0,0,0
"64",2026-08-30,34,6,28,1,33,0,34,2,32,3,31,0,0,0,0
