"week_start","lugar","source","total_tested","inf_a_pos","inf_b_pos","vsr_pos","ns1_pos","igm_pos","igg_pos","deng_pos","scv2_pos","month","denom","total_tested_roll","inf_a_pos_roll","inf_b_pos_roll","vsr_pos_roll","ns1_pos_roll","igm_pos_roll","igg_pos_roll","deng_pos_roll","scv2_pos_roll","denom_roll","inf_a_pos_rate","inf_b_pos_rate","vsr_pos_rate","ns1_pos_rate","igm_pos_rate","igg_pos_rate","deng_pos_rate","scv2_pos_rate","inf_a_pos_inc","inf_b_pos_inc","vsr_pos_inc","ns1_pos_inc","igm_pos_inc","igg_pos_inc","deng_pos_inc","scv2_pos_inc","inf_a_pos_rate_roll","inf_b_pos_rate_roll","vsr_pos_rate_roll","ns1_pos_rate_roll","igm_pos_rate_roll","igg_pos_rate_roll","deng_pos_rate_roll","scv2_pos_rate_roll","inf_a_pos_inc_roll","inf_b_pos_inc_roll","vsr_pos_inc_roll","ns1_pos_inc_roll","igm_pos_inc_roll","igg_pos_inc_roll","scv2_pos_inc_roll","deng_pos_inc_roll"
2025-06-15,"Banasa","Deng",10,NA,NA,NA,0,2,8,2,NA,6,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.8,0.2,NA,NA,NA,NA,0,0.000666666666666667,0.00266666666666667,0.000666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-06-22,"Banasa","Deng",9,NA,NA,NA,0,0,9,0,NA,6,3000,22,NA,NA,NA,0,2,19,2,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.003,0,NA,NA,NA,NA,0,0.0909090909090909,0.863636363636364,0.0909090909090909,NA,NA,NA,NA,0,0.000222222222222222,0.00211111111111111,NA,0.000222222222222222
2025-06-29,"Banasa","Deng",3,NA,NA,NA,0,0,2,0,NA,6,3000,15,NA,NA,NA,0,0,14,0,NA,9000,NA,NA,NA,0,0,0.666666666666667,0,NA,NA,NA,NA,0,0,0.000666666666666667,0,NA,NA,NA,NA,0,0,0.933333333333333,0,NA,NA,NA,NA,0,0,0.00155555555555556,NA,0
2025-07-06,"Banasa","Deng",3,NA,NA,NA,0,0,3,0,NA,7,3000,8,NA,NA,NA,0,0,6,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.001,0,NA,NA,NA,NA,0,0,0.75,0,NA,NA,NA,NA,0,0,0.000666666666666667,NA,0
2025-07-13,"Banasa","Deng",2,NA,NA,NA,0,0,1,0,NA,7,3000,6,NA,NA,NA,0,0,4,0,NA,9000,NA,NA,NA,0,0,0.5,0,NA,NA,NA,NA,0,0,0.000333333333333333,0,NA,NA,NA,NA,0,0,0.666666666666667,0,NA,NA,NA,NA,0,0,0.000444444444444444,NA,0
2025-07-27,"Banasa","Deng",1,NA,NA,NA,0,0,0,0,NA,7,3000,6,NA,NA,NA,1,0,3,1,NA,9000,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0.166666666666667,0,0.5,0.166666666666667,NA,NA,NA,NA,0.000111111111111111,0,0.000333333333333333,NA,0.000111111111111111
2025-08-03,"Banasa","Deng",3,NA,NA,NA,1,0,2,1,NA,8,3000,5,NA,NA,NA,1,0,3,1,NA,9000,NA,NA,NA,0.333333333333333,0,0.666666666666667,0.333333333333333,NA,NA,NA,NA,0.000333333333333333,0,0.000666666666666667,0.000333333333333333,NA,NA,NA,NA,0.2,0,0.6,0.2,NA,NA,NA,NA,0.000111111111111111,0,0.000333333333333333,NA,0.000111111111111111
2025-08-10,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,8,3000,6,NA,NA,NA,1,0,5,1,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000333333333333333,0,NA,NA,NA,NA,0.166666666666667,0,0.833333333333333,0.166666666666667,NA,NA,NA,NA,0.000111111111111111,0,0.000555555555555556,NA,0.000111111111111111
2025-08-17,"Banasa","Deng",2,NA,NA,NA,0,0,2,0,NA,8,3000,8,NA,NA,NA,0,0,8,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000666666666666667,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000888888888888889,NA,0
2025-08-24,"Banasa","Deng",5,NA,NA,NA,0,0,5,0,NA,8,3000,9,NA,NA,NA,0,0,9,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.00166666666666667,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.001,NA,0
2025-08-31,"Banasa","Deng",2,NA,NA,NA,0,0,2,0,NA,8,3000,8,NA,NA,NA,0,0,8,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000666666666666667,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000888888888888889,NA,0
2025-09-07,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,9,3000,4,NA,NA,NA,0,0,4,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000333333333333333,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000444444444444444,NA,0
2025-09-14,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,9,3000,3,NA,NA,NA,0,0,3,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000333333333333333,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000333333333333333,NA,0
2025-09-21,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,9,3000,4,NA,NA,NA,0,0,4,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000333333333333333,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000444444444444444,NA,0
2025-09-28,"Banasa","Deng",2,NA,NA,NA,0,0,2,0,NA,9,3000,7,NA,NA,NA,0,1,6,1,NA,8000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000666666666666667,0,NA,NA,NA,NA,0,0.142857142857143,0.857142857142857,0.142857142857143,NA,NA,NA,NA,0,0.000125,0.00075,NA,0.000125
2025-10-05,"Banasa","Deng",4,NA,NA,NA,0,1,3,1,NA,10,2000,8,NA,NA,NA,0,2,7,2,NA,7000,NA,NA,NA,0,0.25,0.75,0.25,NA,NA,NA,NA,0,5e-04,0.0015,5e-04,NA,NA,NA,NA,0,0.25,0.875,0.25,NA,NA,NA,NA,0,0.000285714285714286,0.001,NA,0.000285714285714286
2025-10-12,"Banasa","Deng",2,NA,NA,NA,0,1,2,1,NA,10,2000,13,NA,NA,NA,0,2,12,2,NA,6000,NA,NA,NA,0,0.5,1,0.5,NA,NA,NA,NA,0,5e-04,0.001,5e-04,NA,NA,NA,NA,0,0.153846153846154,0.923076923076923,0.153846153846154,NA,NA,NA,NA,0,0.000333333333333333,0.002,NA,0.000333333333333333
2025-10-19,"Banasa","Deng",7,NA,NA,NA,0,0,7,0,NA,10,2000,15,NA,NA,NA,0,1,15,1,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.0035,0,NA,NA,NA,NA,0,0.0666666666666667,1,0.0666666666666667,NA,NA,NA,NA,0,0.000166666666666667,0.0025,NA,0.000166666666666667
2025-10-26,"Banasa","Deng",6,NA,NA,NA,0,0,6,0,NA,10,2000,18,NA,NA,NA,0,0,17,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.003,0,NA,NA,NA,NA,0,0,0.944444444444444,0,NA,NA,NA,NA,0,0,0.00283333333333333,NA,0
2025-11-02,"Banasa","Deng",5,NA,NA,NA,0,0,4,0,NA,11,2000,17,NA,NA,NA,0,1,16,1,NA,6000,NA,NA,NA,0,0,0.8,0,NA,NA,NA,NA,0,0,0.002,0,NA,NA,NA,NA,0,0.0588235294117647,0.941176470588235,0.0588235294117647,NA,NA,NA,NA,0,0.000166666666666667,0.00266666666666667,NA,0.000166666666666667
2025-11-09,"Banasa","Deng",6,NA,NA,NA,0,1,6,1,NA,11,2000,17,NA,NA,NA,0,1,14,1,NA,6000,NA,NA,NA,0,0.166666666666667,1,0.166666666666667,NA,NA,NA,NA,0,5e-04,0.003,5e-04,NA,NA,NA,NA,0,0.0588235294117647,0.823529411764706,0.0588235294117647,NA,NA,NA,NA,0,0.000166666666666667,0.00233333333333333,NA,0.000166666666666667
2025-11-16,"Banasa","Deng",6,NA,NA,NA,0,0,4,0,NA,11,2000,17,NA,NA,NA,0,2,14,2,NA,6000,NA,NA,NA,0,0,0.666666666666667,0,NA,NA,NA,NA,0,0,0.002,0,NA,NA,NA,NA,0,0.117647058823529,0.823529411764706,0.117647058823529,NA,NA,NA,NA,0,0.000333333333333333,0.00233333333333333,NA,0.000333333333333333
2025-11-23,"Banasa","Deng",5,NA,NA,NA,0,1,4,1,NA,11,2000,15,NA,NA,NA,0,2,12,2,NA,6000,NA,NA,NA,0,0.2,0.8,0.2,NA,NA,NA,NA,0,5e-04,0.002,5e-04,NA,NA,NA,NA,0,0.133333333333333,0.8,0.133333333333333,NA,NA,NA,NA,0,0.000333333333333333,0.002,NA,0.000333333333333333
2025-11-30,"Banasa","Deng",4,NA,NA,NA,0,1,4,1,NA,11,2000,13,NA,NA,NA,0,2,12,2,NA,6000,NA,NA,NA,0,0.25,1,0.25,NA,NA,NA,NA,0,5e-04,0.002,5e-04,NA,NA,NA,NA,0,0.153846153846154,0.923076923076923,0.153846153846154,NA,NA,NA,NA,0,0.000333333333333333,0.002,NA,0.000333333333333333
2025-12-07,"Banasa","Deng",4,NA,NA,NA,0,0,4,0,NA,12,2000,10,NA,NA,NA,0,1,10,1,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.002,0,NA,NA,NA,NA,0,0.1,1,0.1,NA,NA,NA,NA,0,0.000166666666666667,0.00166666666666667,NA,0.000166666666666667
2025-12-14,"Banasa","Deng",2,NA,NA,NA,0,0,2,0,NA,12,2000,7,NA,NA,NA,0,0,7,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.001,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.00116666666666667,NA,0
2025-12-21,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,12,2000,4,NA,NA,NA,0,0,4,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,5e-04,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000666666666666667,NA,0
2025-12-28,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,12,2000,7,NA,NA,NA,0,0,5,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,5e-04,0,NA,NA,NA,NA,0,0,0.714285714285714,0,NA,NA,NA,NA,0,0,0.000833333333333333,NA,0
2026-01-04,"Banasa","Deng",5,NA,NA,NA,0,0,3,0,NA,1,2000,7,NA,NA,NA,0,0,5,0,NA,6000,NA,NA,NA,0,0,0.6,0,NA,NA,NA,NA,0,0,0.0015,0,NA,NA,NA,NA,0,0,0.714285714285714,0,NA,NA,NA,NA,0,0,0.000833333333333333,NA,0
2026-01-11,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,1,2000,9,NA,NA,NA,0,0,7,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,5e-04,0,NA,NA,NA,NA,0,0,0.777777777777778,0,NA,NA,NA,NA,0,0,0.00116666666666667,NA,0
2026-01-18,"Banasa","Deng",3,NA,NA,NA,0,0,3,0,NA,1,2000,8,NA,NA,NA,0,1,8,1,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.0015,0,NA,NA,NA,NA,0,0.125,1,0.125,NA,NA,NA,NA,0,0.000166666666666667,0.00133333333333333,NA,0.000166666666666667
2026-01-25,"Banasa","Deng",4,NA,NA,NA,0,1,4,1,NA,1,2000,9,NA,NA,NA,0,1,9,1,NA,6000,NA,NA,NA,0,0.25,1,0.25,NA,NA,NA,NA,0,5e-04,0.002,5e-04,NA,NA,NA,NA,0,0.111111111111111,1,0.111111111111111,NA,NA,NA,NA,0,0.000166666666666667,0.0015,NA,0.000166666666666667
2026-02-01,"Banasa","Deng",2,NA,NA,NA,0,0,2,0,NA,2,2000,7,NA,NA,NA,0,1,7,1,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.001,0,NA,NA,NA,NA,0,0.142857142857143,1,0.142857142857143,NA,NA,NA,NA,0,0.000166666666666667,0.00116666666666667,NA,0.000166666666666667
2026-02-08,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,2,2000,8,NA,NA,NA,0,0,8,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,5e-04,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.00133333333333333,NA,0
2026-02-15,"Banasa","Deng",5,NA,NA,NA,0,0,5,0,NA,2,2000,9,NA,NA,NA,0,0,8,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.0025,0,NA,NA,NA,NA,0,0,0.888888888888889,0,NA,NA,NA,NA,0,0,0.00133333333333333,NA,0
2026-02-22,"Banasa","Deng",3,NA,NA,NA,0,0,2,0,NA,2,2000,12,NA,NA,NA,0,0,11,0,NA,6000,NA,NA,NA,0,0,0.666666666666667,0,NA,NA,NA,NA,0,0,0.001,0,NA,NA,NA,NA,0,0,0.916666666666667,0,NA,NA,NA,NA,0,0,0.00183333333333333,NA,0
2026-03-01,"Banasa","Deng",4,NA,NA,NA,0,0,4,0,NA,3,2000,11,NA,NA,NA,0,0,9,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.002,0,NA,NA,NA,NA,0,0,0.818181818181818,0,NA,NA,NA,NA,0,0,0.0015,NA,0
2026-03-08,"Banasa","Deng",4,NA,NA,NA,0,0,3,0,NA,3,2000,12,NA,NA,NA,0,0,11,0,NA,6000,NA,NA,NA,0,0,0.75,0,NA,NA,NA,NA,0,0,0.0015,0,NA,NA,NA,NA,0,0,0.916666666666667,0,NA,NA,NA,NA,0,0,0.00183333333333333,NA,0
2026-03-15,"Banasa","Deng",4,NA,NA,NA,0,0,4,0,NA,3,2000,10,NA,NA,NA,0,0,9,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.002,0,NA,NA,NA,NA,0,0,0.9,0,NA,NA,NA,NA,0,0,0.0015,NA,0
2026-03-22,"Banasa","Deng",2,NA,NA,NA,0,0,2,0,NA,3,2000,9,NA,NA,NA,0,0,8,0,NA,6000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.001,0,NA,NA,NA,NA,0,0,0.888888888888889,0,NA,NA,NA,NA,0,0,0.00133333333333333,NA,0
2026-03-29,"Banasa","Deng",3,NA,NA,NA,0,0,2,0,NA,3,2000,10,NA,NA,NA,0,0,9,0,NA,7000,NA,NA,NA,0,0,0.666666666666667,0,NA,NA,NA,NA,0,0,0.001,0,NA,NA,NA,NA,0,0,0.9,0,NA,NA,NA,NA,0,0,0.00128571428571429,NA,0
2026-04-05,"Banasa","Deng",5,NA,NA,NA,0,0,5,0,NA,4,3000,11,NA,NA,NA,0,0,9,0,NA,8000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.00166666666666667,0,NA,NA,NA,NA,0,0,0.818181818181818,0,NA,NA,NA,NA,0,0,0.001125,NA,0
2026-04-19,"Banasa","Deng",3,NA,NA,NA,0,0,2,0,NA,4,3000,9,NA,NA,NA,0,0,7,0,NA,9000,NA,NA,NA,0,0,0.666666666666667,0,NA,NA,NA,NA,0,0,0.000666666666666667,0,NA,NA,NA,NA,0,0,0.777777777777778,0,NA,NA,NA,NA,0,0,0.000777777777777778,NA,0
2026-04-26,"Banasa","Deng",1,NA,NA,NA,0,0,0,0,NA,4,3000,8,NA,NA,NA,0,0,5,0,NA,9000,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0.625,0,NA,NA,NA,NA,0,0,0.000555555555555556,NA,0
2026-05-03,"Banasa","Deng",4,NA,NA,NA,0,0,3,0,NA,5,3000,9,NA,NA,NA,0,0,7,0,NA,9000,NA,NA,NA,0,0,0.75,0,NA,NA,NA,NA,0,0,0.001,0,NA,NA,NA,NA,0,0,0.777777777777778,0,NA,NA,NA,NA,0,0,0.000777777777777778,NA,0
2026-05-17,"Banasa","Deng",4,NA,NA,NA,0,0,4,0,NA,5,3000,14,NA,NA,NA,0,1,13,1,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.00133333333333333,0,NA,NA,NA,NA,0,0.0714285714285714,0.928571428571429,0.0714285714285714,NA,NA,NA,NA,0,0.000111111111111111,0.00144444444444444,NA,0.000111111111111111
2026-05-24,"Banasa","Deng",6,NA,NA,NA,0,1,6,1,NA,5,3000,13,NA,NA,NA,0,2,13,2,NA,9000,NA,NA,NA,0,0.166666666666667,1,0.166666666666667,NA,NA,NA,NA,0,0.000333333333333333,0.002,0.000333333333333333,NA,NA,NA,NA,0,0.153846153846154,1,0.153846153846154,NA,NA,NA,NA,0,0.000222222222222222,0.00144444444444444,NA,0.000222222222222222
2026-05-31,"Banasa","Deng",3,NA,NA,NA,0,1,3,1,NA,5,3000,10,NA,NA,NA,0,2,10,2,NA,9000,NA,NA,NA,0,0.333333333333333,1,0.333333333333333,NA,NA,NA,NA,0,0.000333333333333333,0.001,0.000333333333333333,NA,NA,NA,NA,0,0.2,1,0.2,NA,NA,NA,NA,0,0.000222222222222222,0.00111111111111111,NA,0.000222222222222222
2026-06-07,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,6,3000,6,NA,NA,NA,0,1,6,1,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000333333333333333,0,NA,NA,NA,NA,0,0.166666666666667,1,0.166666666666667,NA,NA,NA,NA,0,0.000111111111111111,0.000666666666666667,NA,0.000111111111111111
2026-06-14,"Banasa","Deng",2,NA,NA,NA,0,0,2,0,NA,6,3000,9,NA,NA,NA,0,0,9,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000666666666666667,0,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.001,NA,0
2026-06-21,"Banasa","Deng",6,NA,NA,NA,0,0,6,0,NA,6,3000,15,NA,NA,NA,0,0,14,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.002,0,NA,NA,NA,NA,0,0,0.933333333333333,0,NA,NA,NA,NA,0,0,0.00155555555555556,NA,0
2026-06-28,"Banasa","Deng",7,NA,NA,NA,0,0,6,0,NA,6,3000,15,NA,NA,NA,0,0,14,0,NA,9000,NA,NA,NA,0,0,0.857142857142857,0,NA,NA,NA,NA,0,0,0.002,0,NA,NA,NA,NA,0,0,0.933333333333333,0,NA,NA,NA,NA,0,0,0.00155555555555556,NA,0
2026-07-05,"Banasa","Deng",2,NA,NA,NA,0,0,2,0,NA,7,3000,14,NA,NA,NA,0,0,12,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000666666666666667,0,NA,NA,NA,NA,0,0,0.857142857142857,0,NA,NA,NA,NA,0,0,0.00133333333333333,NA,0
2026-07-12,"Banasa","Deng",5,NA,NA,NA,0,0,4,0,NA,7,3000,8,NA,NA,NA,0,0,7,0,NA,9000,NA,NA,NA,0,0,0.8,0,NA,NA,NA,NA,0,0,0.00133333333333333,0,NA,NA,NA,NA,0,0,0.875,0,NA,NA,NA,NA,0,0,0.000777777777777778,NA,0
2026-07-19,"Banasa","Deng",1,NA,NA,NA,0,0,1,0,NA,7,3000,8,NA,NA,NA,0,0,7,0,NA,9000,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,0,0.000333333333333333,0,NA,NA,NA,NA,0,0,0.875,0,NA,NA,NA,NA,0,0,0.000777777777777778,NA,0
